acc	uar	f1
1.0090	0.6924	0.8321
0.8656	0.7146	0.8046
0.9202	0.6815	0.7810
0.8234	0.7350	0.8097
0.8987	0.6113	0.7825
0.9909	0.6565	0.7659
1.0242	0.6285	0.7695
0.9433	0.6654	0.7991
1.1749	0.6499	0.8103
1.0107	0.6223	0.7905
0.9661	0.6657	0.7945
