acc	uar	f1
1.4392	0.1322	0.5465
1.3318	0.0467	0.5382
1.3026	0.1338	0.6460
1.3429	0.0085	0.6155
1.2098	-0.0779	0.5737
1.3607	0.0208	0.6851
1.3364	0.0359	0.7203
1.3389	0.1273	0.7119
1.5229	0.0779	0.5905
1.4515	-0.0323	0.5429
1.3637	0.0473	0.6171
