acc	uar	f1
1.0094	0.7051	0.8318
0.8249	0.7294	0.8139
0.8866	0.6838	0.7786
0.8252	0.7476	0.8161
0.8851	0.6425	0.7927
0.9328	0.6744	0.7610
1.0184	0.6267	0.7488
0.9558	0.6525	0.7954
1.2156	0.6563	0.7955
1.0071	0.6186	0.7654
0.9561	0.6737	0.7899
