acc	uar	f1
1.4351	0.1252	0.5269
1.3398	0.0168	0.5007
1.3248	0.1085	0.6741
1.3375	0.0861	0.5873
1.2294	-0.1446	0.4533
1.3511	0.0500	0.6273
1.3456	0.0190	0.5727
1.3551	0.0409	0.6162
1.5267	0.0820	0.5072
1.4056	-0.0200	0.4738
1.3651	0.0364	0.5540
