acc	uar	f1
1.4805	0.1605	0.5828
1.3610	0.0528	0.5917
1.3080	0.0971	0.6001
1.3193	0.1006	0.6835
1.2318	0.0680	0.5912
1.3407	0.1282	0.6404
1.3525	-0.0159	0.5119
1.3623	-0.0116	0.6062
1.5305	0.0933	0.5872
1.3799	-0.0602	0.5920
1.3666	0.0613	0.5987
