acc	uar	f1
0.9889	0.7088	0.8315
0.8694	0.7235	0.7934
0.9022	0.6806	0.7871
0.8124	0.7521	0.8210
0.8902	0.6261	0.7343
0.9656	0.6851	0.7665
1.0500	0.6167	0.7655
0.9990	0.6335	0.8033
1.2353	0.6420	0.7779
1.0324	0.5949	0.7895
0.9745	0.6663	0.7870
