acc	uar	f1
0.7946	0.6912	0.8036
0.8080	0.6773	0.8158
0.8348	0.7341	0.8393
0.7589	0.6084	0.7821
0.7768	0.6638	0.7896
0.7411	0.6019	0.7468
0.7991	0.6357	0.8164
0.7679	0.5907	0.7829
0.7946	0.5941	0.8228
0.7991	0.6930	0.8212
0.7875	0.6490	0.8021
